Segment,Recency,Frequency,Monetary
Occasional / At Risk,45,3,95.85
Occasional / At Risk,61,3,236.45
Lost / Low Value,370,1,20.4
Loyal Customers,79,6,818.26
Lost / Low Value,64,1,115.95
Occasional / At Risk,12,2,317.95
Occasional / At Risk,86,3,617.76
Occasional / At Risk,16,3,585.07
Hibernating,246,2,347.08
Hibernating,88,1,1182.32
Hibernating,30,1,88.25
Lost / Low Value,138,1,159.78
Loyal Customers,27,3,954.57
Loyal Customers,3,5,959.68
Loyal Customers,32,4,1144.98
Hibernating,113,2,210.24
Hibernating,157,1,248.6
Loyal Customers,85,3,882.9
Loyal Customers,118,3,772.25
Champions (VIP),3,9,4300.39
Loyal Customers,96,6,2640.84
Hibernating,194,1,230.94
Hibernating,28,1,350.08
Hibernating,131,1,373.08000000000004
Loyal Customers,28,5,795.28
Loyal Customers,82,3,965.54
Champions (VIP),30,5,2549.16
Lost / Low Value,266,1,50.400000000000006
Loyal Customers,74,7,1653.0
Hibernating,314,4,488.0
Loyal Customers,21,7,1276.7
Loyal Customers,59,3,681.3000000000001
Champions (VIP),12,21,4232.74
Champions (VIP),28,9,2422.9500000000003
Hibernating,114,1,284.34
Champions (VIP),28,9,1836.0800000000002
Loyal Customers,18,4,1141.77
Loyal Customers,18,4,624.52
Occasional / At Risk,36,3,386.9599999999999
Hibernating,36,2,259.94
Lost / Low Value,78,1,118.80000000000001
Lost / Low Value,22,1,125.39999999999999
Hibernating,25,2,210.51
Loyal Customers,33,2,1408.1
Loyal Customers,109,3,1219.0
Loyal Customers,35,2,2101.58
Loyal Customers,123,5,1366.7
Champions (VIP),7,6,1307.9
Loyal Customers,28,4,1651.6100000000001
Loyal Customers,4,5,1346.74
Champions (VIP),3,9,3421.37
Loyal Customers,50,4,1634.44
Hibernating,322,1,254.3
Loyal Customers,23,3,1184.91
Loyal Customers,15,4,771.84
Champions (VIP),2,8,799.72
Loyal Customers,18,2,948.34
Loyal Customers,30,3,1067.18
Loyal Customers,159,2,560.98
Champions (VIP),33,6,7826.28
Loyal Customers,29,6,812.95
Lost / Low Value,165,1,76.1
Hibernating,47,1,183.39000000000001
Loyal Customers,6,8,434.67
Occasional / At Risk,8,3,563.7
Lost / Low Value,288,1,73.35
Lost / Low Value,318,1,157.02
Loyal Customers,3,2,477.79
Hibernating,233,1,222.96
Lost / Low Value,119,1,138.32
Lost / Low Value,162,1,263.7
Hibernating,185,1,262.44
Hibernating,50,1,158.78
Loyal Customers,152,5,917.16
Lost / Low Value,335,1,131.59
Loyal Customers,5,4,1839.1200000000001
Occasional / At Risk,16,3,32.400000000000006
Occasional / At Risk,107,2,232.35000000000002
Occasional / At Risk,16,5,635.77
Hibernating,276,1,288.3
Champions (VIP),16,12,7840.87
Lost / Low Value,247,1,115.42
Lost / Low Value,239,1,119.7
Loyal Customers,1,2,537.1800000000001
Occasional / At Risk,263,2,400.98
Loyal Customers,23,4,1270.07
Lost / Low Value,52,1,124.88
Occasional / At Risk,195,3,408.8
Hibernating,24,1,213.78
Hibernating,75,1,299.1
Occasional / At Risk,18,2,78.2
Occasional / At Risk,8,2,319.0
Loyal Customers,32,3,954.77
Loyal Customers,22,3,1436.45
Champions (VIP),31,6,3356.97
Loyal Customers,29,10,1293.26
Occasional / At Risk,22,2,293.1
Loyal Customers,33,7,2336.2
Lost / Low Value,284,1,122.88
Occasional / At Risk,39,2,206.34
Loyal Customers,58,2,751.76
Hibernating,289,1,199.41
Hibernating,79,1,224.28
Champions (VIP),5,8,3226.9
Lost / Low Value,218,1,59.9
Loyal Customers,44,4,968.98
Hibernating,202,1,208.03
Loyal Customers,178,3,701.84
Loyal Customers,56,4,661.06
Lost / Low Value,57,1,44.6
Loyal Customers,8,6,2326.41
Lost / Low Value,227,1,114.35
Loyal Customers,11,7,1430.71
Occasional / At Risk,106,2,264.9
Hibernating,59,1,228.74
Champions (VIP),28,7,1795.56
Occasional / At Risk,36,7,1088.8600000000001
Lost / Low Value,361,1,70.28
Hibernating,30,1,463.81
Loyal Customers,24,3,354.97
Hibernating,54,1,155.07999999999998
Loyal Customers,36,6,899.04
Loyal Customers,175,4,1091.3600000000001
Lost / Low Value,54,1,20.5
Lost / Low Value,53,1,204.24
Champions (VIP),27,8,1798.93
Lost / Low Value,253,1,3.95
Loyal Customers,40,7,2176.2000000000003
Loyal Customers,60,6,720.07
Lost / Low Value,234,1,97.6
Champions (VIP),4,10,1554.88
Hibernating,32,1,105.98
Champions (VIP),24,14,2785.73
Loyal Customers,7,2,245.66
Hibernating,65,1,273.0
Hibernating,310,2,225.09
Hibernating,309,1,148.99
Occasional / At Risk,19,6,369.86
Champions (VIP),16,8,1798.95
Hibernating,96,2,308.81
Loyal Customers,264,6,1514.0
Champions (VIP),12,10,2636.2200000000003
Loyal Customers,3,2,417.77
Hibernating,35,1,131.07
Lost / Low Value,183,1,114.04
Occasional / At Risk,25,2,357.46
Loyal Customers,13,6,787.58
Hibernating,11,2,306.74
Champions (VIP),3,17,3278.1
Hibernating,313,1,295.0
Loyal Customers,108,2,915.04
Champions (VIP),1,26,5730.54
Hibernating,53,1,532.53
Lost / Low Value,205,1,171.45
Hibernating,15,1,205.99
Hibernating,120,1,277.85
Loyal Customers,4,2,282.62
Hibernating,363,1,244.33
Hibernating,117,2,294.31
Hibernating,18,1,113.01
Loyal Customers,5,2,235.04
Loyal Customers,41,2,253.45
Occasional / At Risk,107,2,150.29999999999998
Loyal Customers,148,2,485.33
Occasional / At Risk,52,3,391.81
Lost / Low Value,208,1,63.440000000000005
Hibernating,139,2,497.21
Loyal Customers,2,3,226.03
Hibernating,127,2,209.35
Lost / Low Value,150,1,35.0
Loyal Customers,46,3,1868.67
Hibernating,35,1,81.25999999999999
Loyal Customers,228,2,958.0500000000001
Hibernating,241,1,206.09
Lost / Low Value,58,1,25.43
Hibernating,174,2,355.25
Loyal Customers,60,6,1586.08
Hibernating,22,1,142.87
Loyal Customers,26,7,694.46
Loyal Customers,9,6,797.35
Loyal Customers,32,3,877.57
Loyal Customers,4,2,410.49
Champions (VIP),8,8,1387.14
Loyal Customers,29,3,400.12
Hibernating,17,1,91.83
Hibernating,101,2,270.68
Loyal Customers,12,4,532.25
Hibernating,21,1,152.84
Loyal Customers,15,5,1044.48
Hibernating,361,1,192.24
Occasional / At Risk,11,3,109.92
Lost / Low Value,95,1,82.75
Occasional / At Risk,78,2,727.84
Lost / Low Value,155,2,96.35000000000001
Lost / Low Value,31,1,210.60000000000002
Champions (VIP),25,8,2036.24
Champions (VIP),2,36,4194.61
Loyal Customers,100,3,815.88
Hibernating,68,1,411.74
Loyal Customers,15,7,903.12
Occasional / At Risk,18,4,414.84000000000003
Lost / Low Value,280,1,96.8
Occasional / At Risk,14,2,466.56
Occasional / At Risk,23,2,273.9
Hibernating,86,1,479.13
Lost / Low Value,302,2,215.82
Loyal Customers,151,4,1625.41
Champions (VIP),17,8,5788.77
Occasional / At Risk,94,2,199.20000000000002
Champions (VIP),30,11,8982.7
Loyal Customers,157,3,516.3000000000001
Hibernating,355,1,168.74
Hibernating,46,1,132.62
Loyal Customers,15,4,375.74
Champions (VIP),4,15,2230.29
Loyal Customers,15,5,987.76
Lost / Low Value,179,1,35.05
Loyal Customers,8,4,952.0
Occasional / At Risk,36,3,253.5
Lost / Low Value,51,1,56.690000000000005
Hibernating,312,1,178.22
Hibernating,24,2,331.04
Hibernating,303,2,342.36
Lost / Low Value,11,1,56.15
Loyal Customers,17,3,486.79
Occasional / At Risk,49,3,430.85
Hibernating,239,2,276.28
Champions (VIP),1,11,3641.2400000000002
Champions (VIP),13,8,3788.79
Hibernating,238,1,148.60999999999999
Loyal Customers,23,7,613.99
Loyal Customers,73,4,398.21999999999997
Loyal Customers,17,3,205.15
Loyal Customers,41,8,1227.3
Loyal Customers,40,4,623.07
Occasional / At Risk,219,2,109.07000000000001
Loyal Customers,199,3,333.06
Occasional / At Risk,71,2,185.0
Champions (VIP),24,20,3484.42
Hibernating,11,1,342.16
Occasional / At Risk,152,5,632.31
Lost / Low Value,65,1,50.400000000000006
Hibernating,4,1,193.39000000000001
Occasional / At Risk,19,2,122.2
Hibernating,15,1,246.16
Occasional / At Risk,8,3,154.70000000000002
Loyal Customers,20,2,591.82
Occasional / At Risk,78,2,128.48
Champions (VIP),1,26,2717.48
Hibernating,307,2,326.52
Lost / Low Value,219,1,38.4
Occasional / At Risk,149,2,108.75
Loyal Customers,22,2,532.36
Occasional / At Risk,115,3,378.78000000000003
Loyal Customers,126,5,1545.6200000000001
Occasional / At Risk,5,9,619.91
Hibernating,36,1,238.17000000000002
Loyal Customers,26,8,1172.14
Loyal Customers,1,3,754.26
Hibernating,333,2,1169.17
Occasional / At Risk,185,2,111.55000000000001
Loyal Customers,16,5,900.27
Occasional / At Risk,12,3,630.7
Champions (VIP),3,7,1178.74
Lost / Low Value,185,1,28.0
Lost / Low Value,80,1,138.44
Champions (VIP),30,6,4601.58
Occasional / At Risk,42,2,349.76
Champions (VIP),11,12,3475.62
Occasional / At Risk,50,3,485.08
Loyal Customers,16,6,1609.85
Occasional / At Risk,46,2,425.29
Hibernating,61,1,655.97
Champions (VIP),8,6,3895.29
Lost / Low Value,72,1,100.8
Champions (VIP),1,25,5667.59
Loyal Customers,128,3,401.72
Occasional / At Risk,33,2,242.36
Hibernating,313,1,357.4
Hibernating,18,2,349.36
Hibernating,88,1,283.26
Champions (VIP),2,7,2021.72
Occasional / At Risk,2,2,216.29999999999998
Hibernating,254,1,283.05
Lost / Low Value,248,2,22.62
Loyal Customers,37,6,2100.79
Loyal Customers,152,2,1789.94
Occasional / At Risk,177,2,120.9
Hibernating,40,2,541.53
Champions (VIP),2,7,2154.31
Champions (VIP),11,9,2545.34
Champions (VIP),1,7,1638.8
Occasional / At Risk,18,2,457.46999999999997
Loyal Customers,192,4,451.88
Lost / Low Value,204,1,111.8
Hibernating,365,1,219.62
Occasional / At Risk,127,4,216.49
Hibernating,15,1,300.40000000000003
Hibernating,43,2,551.99
Occasional / At Risk,94,5,534.08
Loyal Customers,23,3,612.01
Occasional / At Risk,60,2,612.44
Loyal Customers,16,5,1641.31
Lost / Low Value,158,1,248.20000000000002
Loyal Customers,10,2,531.88
Lost / Low Value,10,2,137.0
Loyal Customers,16,5,1695.97
Loyal Customers,45,5,734.41
Loyal Customers,191,3,656.14
Hibernating,79,1,194.37
Hibernating,78,1,511.82
Loyal Customers,4,4,1091.96
Occasional / At Risk,65,3,381.64
Hibernating,261,1,376.97
Occasional / At Risk,59,2,361.52
Champions (VIP),1,7,1169.33
Champions (VIP),1,10,2138.03
Hibernating,248,1,288.62
Loyal Customers,8,2,432.26
Lost / Low Value,359,1,251.10000000000002
Hibernating,76,1,235.74
Hibernating,290,1,460.1
Hibernating,221,2,259.35
Loyal Customers,9,4,633.36
Loyal Customers,3,2,478.91
Loyal Customers,206,9,1794.82
Hibernating,162,2,1006.94
Hibernating,76,1,302.2
Hibernating,262,2,574.73
Hibernating,281,1,387.31
Champions (VIP),58,8,6083.64
Hibernating,25,1,282.98
Champions (VIP),3,28,12117.42
Loyal Customers,51,8,1702.6100000000001
Lost / Low Value,72,1,140.39999999999998
Hibernating,128,1,200.15
Loyal Customers,31,4,403.17
Loyal Customers,15,5,651.71
Lost / Low Value,309,1,128.44
Loyal Customers,17,6,1151.1000000000001
Hibernating,54,1,441.29
Loyal Customers,30,3,684.59
Loyal Customers,2,5,645.2
Hibernating,11,2,263.43
Lost / Low Value,361,1,145.0
Lost / Low Value,360,1,295.5
Occasional / At Risk,5,3,155.20000000000002
Loyal Customers,54,4,712.4200000000001
Champions (VIP),1,8,2755.06
Champions (VIP),1,10,2084.2
Lost / Low Value,190,1,233.1
Hibernating,54,1,223.36
Lost / Low Value,280,1,164.4
Loyal Customers,30,2,777.16
Lost / Low Value,26,1,92.66
Occasional / At Risk,25,2,544.9
Hibernating,270,1,141.55
Loyal Customers,43,3,409.94
Lost / Low Value,234,1,103.3
Occasional / At Risk,24,2,16.439999999999998
Hibernating,197,3,198.41
Hibernating,359,1,281.84
Loyal Customers,60,4,859.27
Champions (VIP),1,5,1220.91
Loyal Customers,20,2,471.81
Lost / Low Value,206,1,67.95
Loyal Customers,14,3,525.01
Occasional / At Risk,155,3,294.67
Hibernating,19,1,137.5
Loyal Customers,14,7,1078.82
Loyal Customers,24,3,409.36
Loyal Customers,8,2,773.87
Champions (VIP),7,8,2775.57
Hibernating,332,1,242.6
Loyal Customers,50,3,1016.56
Occasional / At Risk,71,4,206.85000000000002
Loyal Customers,29,3,336.44
Lost / Low Value,243,1,155.8
Champions (VIP),8,19,2723.0
Lost / Low Value,218,1,96.3
Loyal Customers,5,3,427.65000000000003
Hibernating,312,2,157.12
Champions (VIP),1,24,7926.01
Hibernating,236,1,99.37
Loyal Customers,7,2,771.7
Loyal Customers,109,4,816.77
Occasional / At Risk,100,2,428.5
Loyal Customers,60,4,2085.62
Champions (VIP),2,3,1198.94
Loyal Customers,73,7,1541.47
Champions (VIP),4,5,3083.48
Loyal Customers,85,2,993.18
Loyal Customers,12,2,302.84000000000003
Loyal Customers,23,7,1236.59
Hibernating,214,1,1093.74
Lost / Low Value,18,1,115.68
Lost / Low Value,239,1,108.45
Champions (VIP),2,6,4240.08
Lost / Low Value,78,1,144.72
Hibernating,217,2,266.02
Hibernating,33,2,191.99
Loyal Customers,41,5,952.1899999999999
Champions (VIP),7,15,3295.32
Loyal Customers,53,6,1541.59
Champions (VIP),23,14,3922.42
Hibernating,57,1,346.72
Occasional / At Risk,130,3,195.05
Loyal Customers,6,3,644.63
Hibernating,312,1,198.47
Lost / Low Value,60,1,47.44
Occasional / At Risk,21,3,692.9
Hibernating,33,1,455.45
Loyal Customers,15,2,747.43
Loyal Customers,18,4,1885.15
Lost / Low Value,81,1,75.75
Champions (VIP),6,8,1467.32
Occasional / At Risk,170,2,219.39999999999998
Loyal Customers,2,3,445.29
Loyal Customers,31,4,1243.34
Champions (VIP),36,9,1588.89
Hibernating,19,1,285.56
Loyal Customers,31,2,464.51
Lost / Low Value,276,1,60.2
Lost / Low Value,87,1,114.3
Hibernating,120,2,635.49
Lost / Low Value,373,1,58.8
Champions (VIP),1,11,2287.71
Loyal Customers,219,3,810.7900000000001
Lost / Low Value,65,1,82.11
Loyal Customers,61,3,1224.6000000000001
Hibernating,138,1,781.49
Lost / Low Value,21,1,166.08
Champions (VIP),12,10,3623.63
Champions (VIP),25,12,4274.92
Loyal Customers,38,3,531.22
Lost / Low Value,277,1,80.65
Loyal Customers,11,7,1342.44
Loyal Customers,73,5,1177.25
Occasional / At Risk,26,2,200.22
Champions (VIP),17,12,2354.81
Hibernating,141,1,168.8
Loyal Customers,26,7,1542.3600000000001
Loyal Customers,19,2,547.94
Occasional / At Risk,4,2,110.58
Loyal Customers,66,5,1708.07
Occasional / At Risk,1,2,145.25
Loyal Customers,43,7,880.52
Lost / Low Value,228,1,173.9
Loyal Customers,16,4,1119.59
Loyal Customers,50,2,2010.42
Champions (VIP),2,6,1387.25
Occasional / At Risk,74,2,271.32
Champions (VIP),1,31,14162.95
Loyal Customers,4,6,1291.6000000000001
Champions (VIP),2,22,3506.64
Hibernating,264,1,298.11
Loyal Customers,53,2,892.86
Hibernating,24,1,151.4
Loyal Customers,10,6,2353.4900000000002
Hibernating,44,1,201.01
Champions (VIP),17,7,2499.56
Champions (VIP),7,7,4067.48
Champions (VIP),30,15,3278.02
Hibernating,358,2,242.70000000000002
Occasional / At Risk,127,4,611.04
Hibernating,137,1,166.47
Hibernating,142,1,251.92000000000002
Hibernating,132,2,607.94
Loyal Customers,38,8,1751.63
Hibernating,236,1,298.25
Lost / Low Value,261,1,154.95
Loyal Customers,17,4,2135.39
Lost / Low Value,253,1,193.65
Loyal Customers,30,4,1016.99
Loyal Customers,35,3,798.74
Hibernating,169,2,729.99
Champions (VIP),3,9,1511.72
Champions (VIP),4,17,6826.93
Occasional / At Risk,185,2,50.400000000000006
Occasional / At Risk,188,2,254.82999999999998
Lost / Low Value,170,1,58.25
Occasional / At Risk,11,2,369.8
Hibernating,45,1,403.21
Lost / Low Value,321,1,153.0
Champions (VIP),29,10,4455.29
Lost / Low Value,232,1,113.85
Champions (VIP),38,15,3669.72
Occasional / At Risk,26,4,860.54
Loyal Customers,96,4,1560.26
Occasional / At Risk,173,2,163.9
Loyal Customers,71,3,820.2
Champions (VIP),16,11,2946.2799999999997
Hibernating,15,1,923.35
Champions (VIP),4,3,2549.93
Champions (VIP),3,13,3979.48
Loyal Customers,79,4,871.06
Hibernating,373,1,222.52
Occasional / At Risk,39,2,471.63
Loyal Customers,54,3,567.91
Champions (VIP),2,19,12077.380000000001
Occasional / At Risk,9,2,215.59
Occasional / At Risk,9,2,137.64000000000001
Loyal Customers,19,4,1351.81
Loyal Customers,12,7,2131.35
Occasional / At Risk,113,2,200.86
Champions (VIP),4,6,1613.26
Lost / Low Value,240,1,74.8
Lost / Low Value,113,1,71.4
Occasional / At Risk,178,2,478.95
Champions (VIP),5,9,1101.16
Champions (VIP),1,5,982.55
Champions (VIP),1,30,4296.3
Champions (VIP),19,8,3081.55
Loyal Customers,17,3,664.21
Occasional / At Risk,22,2,218.25
Hibernating,33,1,285.64
Lost / Low Value,263,1,15.0
Loyal Customers,51,2,679.35
Hibernating,159,3,259.58
Hibernating,15,1,262.95
Loyal Customers,8,3,1360.91
Champions (VIP),13,10,3271.08
Occasional / At Risk,199,3,286.57
Occasional / At Risk,57,2,213.23
Hibernating,11,2,125.0
Loyal Customers,97,4,985.74
Lost / Low Value,255,1,56.4
Loyal Customers,25,3,629.11
Loyal Customers,21,3,494.86
Lost / Low Value,159,1,62.17
Loyal Customers,72,2,274.97
Lost / Low Value,53,1,123.44
Loyal Customers,85,2,226.78
Loyal Customers,153,4,1630.29
Lost / Low Value,130,1,3.25
Lost / Low Value,281,1,191.65
Champions (VIP),27,14,1652.25
Lost / Low Value,30,1,106.1
Hibernating,25,1,162.37
Hibernating,180,2,311.48
Loyal Customers,40,4,578.05
Loyal Customers,22,3,644.63
Champions (VIP),22,10,2534.95
Loyal Customers,37,9,951.36
Loyal Customers,82,3,1145.07
Lost / Low Value,74,1,211.83
Hibernating,11,1,445.11
Occasional / At Risk,16,4,729.45
Champions (VIP),4,39,5594.68
Loyal Customers,13,4,547.26
Champions (VIP),14,5,1156.17
Occasional / At Risk,37,4,36.56
Occasional / At Risk,4,2,114.43
Occasional / At Risk,72,6,676.81
Hibernating,51,1,235.84
Champions (VIP),5,5,1751.3600000000001
Loyal Customers,23,4,902.02
Hibernating,299,1,765.34
Occasional / At Risk,2,3,200.75
Lost / Low Value,33,1,35.400000000000006
Hibernating,50,1,148.53
Loyal Customers,3,3,279.54
Hibernating,47,1,109.83
Loyal Customers,42,8,1080.68
Loyal Customers,27,5,1812.06
Hibernating,42,1,318.15
Champions (VIP),2,123,32200.74
Hibernating,303,1,170.88
Lost / Low Value,107,1,51.559999999999995
Occasional / At Risk,148,6,331.02
Occasional / At Risk,264,3,64.60000000000001
Champions (VIP),372,34,4462.16
Hibernating,12,2,114.34
Occasional / At Risk,185,2,120.01
Hibernating,373,1,199.02
Occasional / At Risk,233,2,131.0
Lost / Low Value,358,1,5.5
Champions (VIP),6,9,2056.11
Hibernating,305,1,118.52000000000001
Hibernating,369,1,194.65
Champions (VIP),3,8,1606.44
Lost / Low Value,324,1,260.0
Loyal Customers,59,6,2891.44
Loyal Customers,13,3,495.75
Champions (VIP),31,18,6388.72
Lost / Low Value,143,1,170.8
Loyal Customers,30,3,201.54000000000002
Occasional / At Risk,107,5,275.03
Champions (VIP),2,11,1296.07
Lost / Low Value,205,1,131.42000000000002
Occasional / At Risk,80,5,1073.26
Loyal Customers,185,6,527.07
Lost / Low Value,170,1,158.01
Hibernating,44,1,244.83
Lost / Low Value,174,1,154.67
Hibernating,365,1,387.82
Lost / Low Value,304,1,133.35000000000002
Loyal Customers,3,4,493.34
Loyal Customers,4,4,537.22
Hibernating,12,1,139.59
Loyal Customers,32,3,468.23
Lost / Low Value,129,1,47.05
Loyal Customers,60,6,392.42
Occasional / At Risk,212,2,159.92
Hibernating,323,2,508.57
Hibernating,162,1,203.85999999999999
Occasional / At Risk,57,2,121.1
Lost / Low Value,225,1,66.31
Loyal Customers,72,8,904.49
Lost / Low Value,44,1,80.36
Loyal Customers,173,3,380.56
Occasional / At Risk,85,2,138.14
Hibernating,159,1,94.34
Lost / Low Value,190,2,97.19999999999999
Lost / Low Value,29,1,41.78
Hibernating,21,1,91.62
Occasional / At Risk,157,3,338.59000000000003
Lost / Low Value,247,1,55.95
Hibernating,374,1,218.2
Hibernating,9,1,294.35
Hibernating,310,5,194.18
Occasional / At Risk,59,2,339.39
Hibernating,4,1,230.68
Loyal Customers,45,3,318.08
Hibernating,88,1,615.48
Champions (VIP),4,17,3375.62
Loyal Customers,64,4,769.38
Occasional / At Risk,12,4,703.38
Occasional / At Risk,133,2,309.23
Occasional / At Risk,45,2,155.56
Lost / Low Value,309,1,196.20000000000002
Occasional / At Risk,36,5,707.4
Hibernating,134,2,255.0
Loyal Customers,29,3,1188.92
Hibernating,59,1,307.68
Hibernating,138,2,134.39
Hibernating,5,1,327.53
Occasional / At Risk,9,4,172.5
Lost / Low Value,160,1,99.14
Lost / Low Value,8,1,1.9
Lost / Low Value,233,2,79.78
Lost / Low Value,37,1,136.68
Occasional / At Risk,8,4,258.29999999999995
Loyal Customers,72,3,365.15
Occasional / At Risk,40,3,208.38000000000002
Champions (VIP),5,11,2017.57
Lost / Low Value,220,2,55.599999999999994
Hibernating,66,1,95.28999999999999
Lost / Low Value,117,1,136.16
Hibernating,171,1,73.78
Champions (VIP),21,37,858.24
Hibernating,142,1,82.02
Loyal Customers,32,2,326.25
Champions (VIP),38,14,2060.67
Hibernating,151,2,155.43
Hibernating,372,1,84.42
Hibernating,374,1,257.15
Occasional / At Risk,166,2,63.45
Hibernating,211,1,279.33
Hibernating,242,1,96.54
Hibernating,52,1,299.48
Loyal Customers,25,3,651.1
Champions (VIP),15,13,3819.2000000000003
Hibernating,372,1,282.64
Lost / Low Value,29,1,95.29
Lost / Low Value,365,1,129.5
Loyal Customers,36,4,573.03
Occasional / At Risk,166,3,228.15
Hibernating,145,1,131.68
Hibernating,22,1,571.35
Lost / Low Value,56,1,20.8
Lost / Low Value,185,1,123.92999999999999
Occasional / At Risk,12,7,99.92
Occasional / At Risk,237,3,585.84
Lost / Low Value,225,2,67.85
Loyal Customers,122,4,545.83
Lost / Low Value,282,1,23.6
Loyal Customers,74,8,1264.1
Loyal Customers,37,2,334.79
Loyal Customers,12,2,272.93
Hibernating,362,1,112.37
Loyal Customers,4,2,163.02
Hibernating,23,1,251.53000000000003
Occasional / At Risk,70,4,71.53
Hibernating,235,1,182.29
Lost / Low Value,257,1,61.6
Hibernating,373,1,92.84
Hibernating,155,2,129.81
Hibernating,28,1,146.32
Hibernating,4,1,120.03
Loyal Customers,32,5,949.6
Occasional / At Risk,108,2,53.589999999999996
Lost / Low Value,52,1,28.5
Hibernating,36,1,542.25
Lost / Low Value,153,1,67.63
Hibernating,99,1,115.31
Occasional / At Risk,4,2,35.45
Lost / Low Value,334,1,73.5
Hibernating,65,1,71.82
Hibernating,22,2,342.84
Hibernating,36,3,240.92999999999998
Loyal Customers,32,3,403.12
Occasional / At Risk,154,6,33.17
Occasional / At Risk,19,2,340.20000000000005
Champions (VIP),12,21,2896.07
Lost / Low Value,54,1,93.35
Loyal Customers,25,3,426.59000000000003
Champions (VIP),4,10,1388.7
Hibernating,45,1,145.09
Lost / Low Value,203,2,95.97
Lost / Low Value,359,1,74.4
Hibernating,71,1,283.02
Champions (VIP),7,10,5424.71
Hibernating,288,1,293.7
Lost / Low Value,10,1,6.959999999999999
Occasional / At Risk,23,3,290.56
Occasional / At Risk,22,10,1053.39
Occasional / At Risk,173,3,282.45
Lost / Low Value,133,1,48.0
Champions (VIP),6,14,1803.16
Hibernating,75,1,318.0
Hibernating,40,1,319.03
Champions (VIP),26,5,1852.42
Occasional / At Risk,258,2,369.4
Hibernating,186,1,247.44
Loyal Customers,114,11,707.6
Lost / Low Value,374,1,185.3
Champions (VIP),23,10,2141.4900000000002
Champions (VIP),8,11,2404.95
Hibernating,217,2,185.98
Loyal Customers,45,3,571.69
Occasional / At Risk,36,3,290.58000000000004
Hibernating,26,1,562.88
Hibernating,330,2,689.95
Lost / Low Value,274,1,101.34
Hibernating,61,1,132.03
Champions (VIP),2,9,2818.12
Occasional / At Risk,120,2,398.59999999999997
Loyal Customers,82,6,1705.46
Hibernating,313,2,283.8
Loyal Customers,12,3,724.54
Loyal Customers,8,6,1977.94
Hibernating,127,1,160.35999999999999
Occasional / At Risk,11,2,162.7
Champions (VIP),1,13,5344.04
Hibernating,37,1,424.64
Hibernating,38,1,103.53
Hibernating,330,1,196.05
Hibernating,254,1,201.2
Champions (VIP),2,26,3443.77
Hibernating,20,1,180.9
Occasional / At Risk,12,2,198.52
Hibernating,290,1,137.9
Loyal Customers,68,8,1080.55
Hibernating,26,1,219.42
Champions (VIP),11,26,4641.61
Hibernating,368,1,140.09
Lost / Low Value,214,1,75.35
Hibernating,149,2,615.8
Champions (VIP),8,6,1608.4
Hibernating,24,2,374.16
Loyal Customers,30,4,1024.07
Hibernating,61,1,190.33
Loyal Customers,19,3,257.09000000000003
Lost / Low Value,243,1,99.80000000000001
Loyal Customers,15,3,941.16
Occasional / At Risk,29,4,206.25
Occasional / At Risk,63,3,767.33
Lost / Low Value,295,1,67.80000000000001
Loyal Customers,18,6,3112.86
Lost / Low Value,216,1,134.4
Hibernating,117,2,895.8100000000001
Occasional / At Risk,31,11,912.1500000000001
Champions (VIP),13,4,2761.12
Occasional / At Risk,141,2,160.35000000000002
Occasional / At Risk,46,2,147.83999999999997
Occasional / At Risk,51,3,323.7
Loyal Customers,32,3,566.58
Occasional / At Risk,135,2,560.7
Loyal Customers,3,2,360.94
Occasional / At Risk,75,3,351.46
Loyal Customers,13,2,639.19
Loyal Customers,9,2,453.4
Hibernating,301,1,257.25
Occasional / At Risk,57,2,499.06
Loyal Customers,15,5,1281.32
Hibernating,37,1,337.40000000000003
Lost / Low Value,177,1,177.66
Loyal Customers,23,3,1259.46
Loyal Customers,176,6,853.78
Lost / Low Value,61,1,151.65
Occasional / At Risk,33,3,490.51
Occasional / At Risk,59,5,675.6800000000001
Champions (VIP),31,15,4039.5
Occasional / At Risk,87,4,884.98
Hibernating,358,1,419.05
Loyal Customers,31,6,1278.47
Loyal Customers,129,4,1521.22
Loyal Customers,9,5,1233.24
Champions (VIP),5,6,1637.38
Hibernating,24,1,324.40000000000003
Hibernating,227,2,512.87
Hibernating,249,1,214.25
Loyal Customers,15,3,1344.72
Loyal Customers,78,2,891.34
Occasional / At Risk,192,2,219.16000000000003
Lost / Low Value,262,1,37.4
Hibernating,72,1,698.82
Hibernating,165,1,208.91
Loyal Customers,95,2,585.93
Champions (VIP),4,16,2018.14
Hibernating,106,1,150.35
Loyal Customers,200,3,1058.99
Hibernating,157,1,126.07
Loyal Customers,71,3,1655.2
Hibernating,36,2,408.86
Lost / Low Value,29,1,139.10000000000002
Champions (VIP),2,6,1907.18
Loyal Customers,26,5,515.0699999999999
Hibernating,326,1,175.47
Hibernating,237,1,232.48000000000002
Hibernating,89,1,266.34000000000003
Hibernating,31,1,360.85
Loyal Customers,29,2,515.67
Occasional / At Risk,211,2,299.0
Champions (VIP),3,10,1616.92
Loyal Customers,22,5,913.82
Hibernating,93,1,333.87
Champions (VIP),5,14,5481.32
Lost / Low Value,264,1,158.95000000000002
Champions (VIP),3,12,4244.35
Champions (VIP),44,11,4400.21
Lost / Low Value,218,1,30.0
Hibernating,57,2,760.0
Champions (VIP),12,20,3664.7
